Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"AKPSAKXADS1","2220","10/1/99","9/30/06","-"
"AKRNCOABCM1","3200","10/1/99","9/30/06","-"
"AKRNCOXCRS1","3200","10/1/99","9/30/06","-"
"AKRNIAAERS5","3410","10/1/99","9/30/06","-"
"AKRNINXADS0","3600","10/1/99","9/30/06","-"
"AKRNNYAKRS1","2192","10/1/99","9/30/06","-"
"AKRNOH251GT","2050","10/1/99","9/30/06","-"
"AKRNOH2525F","2050","10/1/99","9/30/06","-"
"AKRNOH25CM1","2050","10/1/99","9/30/06","-"
"AKRNOH25CMD","2050","10/1/99","9/30/06","-"
"AKRNOH25DS0","2050","10/1/99","9/30/06","-"
"AKRNOH25DS2","2050","10/1/99","9/30/06","-"
"AKRNOH25EMD","2050","10/1/99","9/30/06","-"
"AKRNOH7272C","2050","10/1/99","9/30/06","-"
"AKRNOH78DS1","2050","10/1/99","9/30/06","-"
"AKRNOH86DS1","2050","10/1/99","9/30/06","-"
"AKRNOHAQ1MD","2050","10/1/99","9/30/06","-"
"AKRNOHARCM1","2050","10/1/99","9/30/06","-"
"AKRNOHAT0MD","2050","10/1/99","9/30/06","-"
"AKRNOHATDS0","2050","10/1/99","9/30/06","-"
"AKRNOHIACM1","2050","10/1/99","9/30/06","-"
"AKRNOHIACM2","2050","10/1/99","9/30/06","-"
"AKRNOHIAW13","2050","10/1/99","9/30/06","-"
"AKRNOHIAXPX","2050","10/1/99","9/30/06","-"
"AKRNOHIJW01","2050","10/1/99","9/30/06","-"
"AKRNOHIKAMD","2050","10/1/99","9/30/06","-"
"AKRNOHNACMO","2050","10/1/99","9/30/06","-"
"AKRNOHNIDS0","2050","10/1/99","9/30/06","-"
"AKRNOHOMCM0","2050","10/1/99","9/30/06","-"
"AKRNOHUE0MD","2050","10/1/99","9/30/06","-"
"AKRNOHXFDS0","2050","10/1/99","9/30/06","-"
"AKRNPAXARS0","4290","10/1/99","9/30/06","-"
"AKTNAKXADS1","2220","10/1/99","9/30/06","-"
"AKUKAKXA238","2220","10/1/99","9/30/06","-"
"ALAMGAXARS0","3860","10/1/99","9/30/06","-"
"ALAMNDXARS2","4020","10/1/99","9/30/06","-"
"ALAMNVXFRS3","4120","10/1/99","9/30/06","-"
"ALAMTNXADS1","4410","10/1/99","9/30/06","-"
"ALBAMIXJRS0","3800","10/1/99","9/30/06","-"
"ALBATXXARS0","4532","10/1/99","9/30/06","-"
"ALBGVTXADS0","4645","10/1/99","9/30/06","-"
"ALBIIAXORS0","3400","10/1/99","9/30/06","-"
"ALBMNCXA98F","3962","10/1/99","9/30/06","-"
"ALBNIAXODS0","3400","10/1/99","9/30/06","-"
"ALBNIDXCDS0","8352","10/1/99","9/30/06","-"
"ALBNILXERS2","3467","10/1/99","9/30/06","-"
"ALBNINXARS0","3550","10/1/99","9/30/06","-"
"ALBNMEXARS1","3780","10/1/99","9/30/06","-"
"ALBNMIMNRSA","3810","10/1/99","9/30/06","-"
"ALBNNEXGRS0","2262","10/1/99","9/30/06","-"
"ALBNNYAIDS0","2192","10/1/99","9/30/06","-"
"ALBNOKXADS0","4240","10/1/99","9/30/06","-"
"ALBNPAXADS1","4280","10/1/99","9/30/06","-"
"ALBNWYXCRS1","2030","10/1/99","9/30/06","-"
"ALBOMNXBRS0","8076","10/1/99","9/30/06","-"
"ALBQNM09CM2","4125","10/1/99","9/30/06","-"
"ALBQNM10OMD","4125","10/1/99","9/30/06","-"
"ALBQNM12CM1","4125","10/1/99","9/30/06","-"
"ALBQNM21CM2","4125","10/1/99","9/30/06","-"
"ALBQNMACDS0","4125","10/1/99","9/30/06","-"
"ALBQNMCRDS0","4125","10/1/99","9/30/06","-"
"ALBQNMEACG0","4125","10/1/99","9/30/06","-"
"ALBQNMMA05T","4125","10/1/99","9/30/06","-"
"ALBQNMMADS1","4125","10/1/99","9/30/06","-"
"ALBQNMMADS2","4125","10/1/99","9/30/06","-"
"ALBQNMMADS3","4125","10/1/99","9/30/06","-"
"ALBQNMMADS4","4125","10/1/99","9/30/06","-"
"ALBQNMMAH00","4125","10/1/99","9/30/06","-"
"ALBQNMMAMMD","4125","10/1/99","9/30/06","-"
"ALBQNMMAX0X","4125","10/1/99","9/30/06","-"
"ALBQNMMAXMD","4125","10/1/99","9/30/06","-"
"ALBQNMMFCM1","4125","10/1/99","9/30/06","-"
"ALBQNMNEDS0","4125","10/1/99","9/30/06","-"
"ALBQNMNHCM1","4125","10/1/99","9/30/06","-"
"ALBQNMNODS0","4125","10/1/99","9/30/06","-"
"ALBQNMRRDS0","4125","10/1/99","9/30/06","-"
"ALBQNMSHDC0","4125","10/1/99","9/30/06","-"
"ALBQNMSMDS0","4125","10/1/99","9/30/06","-"
"ALBQNMSWDS0","4125","10/1/99","9/30/06","-"
"ALBQNMWEDS0","4125","10/1/99","9/30/06","-"
"ALBQNMXMDS0","4125","10/1/99","9/30/06","-"
"ALBQNMXP1KD","4125","10/1/99","9/30/06","-"
"ALBQNMXPCM0","4125","10/1/99","9/30/06","-"
"ALBQNMXPDS0","4125","10/1/99","9/30/06","-"
"ALBRALXARS0","3040","10/1/99","9/30/06","-"
"ALBRIAXORS8","3370","10/1/99","9/30/06","-"
"ALBRILXERS0","3900","10/1/99","9/30/06","-"
"ALBRKSXARS0","3660","10/1/99","9/30/06","-"
"ALBRNMBXCM1","4125","10/1/99","9/30/06","-"
"ALBRNMCYCM1","4125","10/1/99","9/30/06","-"
"ALBRNMFECM1","4125","10/1/99","9/30/06","-"
"ALBRNMGJCM1","4125","10/1/99","9/30/06","-"
"ALBRNMHPH01","4125","10/1/99","9/30/06","-"
"ALBRVAXARS0","4622","10/1/99","9/30/06","-"
"ALBSALMADS0","3000","10/1/99","9/30/06","-"
"ALBSALMARS0","3000","10/1/99","9/30/06","-"
"ALBYCA11DS0","3125","10/1/99","9/30/06","-"
"ALBYGACFCM1","3330","10/1/99","9/30/06","-"
"ALBYGADZCM1","3330","10/1/99","9/30/06","-"
"ALBYGADZRS0","3330","10/1/99","9/30/06","-"
"ALBYGAMA0MD","3330","10/1/99","9/30/06","-"
"ALBYGAMA45A","3330","10/1/99","9/30/06","-"
"ALBYGAMA88C","3330","10/1/99","9/30/06","-"
"ALBYGAMA88E","3330","10/1/99","9/30/06","-"
"ALBYGAPNCM1","3330","10/1/99","9/30/06","-"
"ALBYILXDRS0","3380","10/1/99","9/30/06","-"
"ALBYIN01RS3","3590","10/1/99","9/30/06","-"
